,state,city,lattitude,longitude,distance_from_centroid,state_count,Cluster
1200,Andhra Pradesh,Kurnool,15.576915,77.93704,110454.34044271591,67,0
1201,West Bengal,Kolkata,22.561997,88.492903,110443.78452214111,56,0
1202,Andhra Pradesh,Bhimavaram,16.5451748,81.5199403,110450.75750806414,67,0
1203,Maharashtra,Amravati,20.909443,77.7522447,110454.52515416905,260,0
1204,Maharashtra,Butibori,20.92258656,78.99986387,110453.27753511048,260,0
1205,Maharashtra,Nashik,19.973146,73.68105,110458.59634495815,260,0
1206,Uttar Pradesh,Gorakhpur,26.743642,84.263369,110448.01423305925,87,0
1207,Maharashtra,Pune,18.423343,73.754875,110458.52253092562,260,0
1208,Maharashtra,Pune,18.4957722,73.97893593,110458.2984689987,260,0
1209,Maharashtra,Mahabaleshwar,17.92564438,73.65552014,110458.62189392043,260,0
1210,Delhi NCR,Gurgaon,28.444672,77.08082,110455.19689930632,53,0
1211,Rajasthan,Sirohi,24.973775,72.895964,110459.38154384347,69,0
1212,Maharashtra,Mumbai,19.163979,72.938751,110459.33864697158,260,0
1213,Maharashtra,Mumbai,19.11637,72.91086,110459.3665383335,260,0
1214,Maharashtra,Mumbai,19.11644,72.90968,110459.36771833296,260,0
1215,Jharkhand,Ranchi,23.371745,85.326113,110446.95133403921,22,0
1216,Odisha,Bhubaneswar,20.352134,85.8903743,110446.3870212851,39,0
1217,Maharashtra,Nashik,19.991881,73.743904,110458.53349095858,260,0
1218,Maharashtra,Nashik,19.9932,73.783133,110458.49426195872,260,0
1219,Maharashtra,Aurangabad,19.911983,75.232932,110457.04446297883,260,0
1220,Maharashtra,Thane,19.25612,72.97145,110459.30594732937,260,0
1221,Punjab,Kisangarh,31.431348,75.620357,110456.65763156212,24,0
1222,Haryana,Karnal,29.731581,76.976511,110455.30131442519,62,0
1223,Maharashtra,Ahmednagar,18.9852363,74.5760075,110457.7013919366,260,0
1224,Madhya Pradesh,Indore,22.335789,73.173794,110459.10362608076,20,0
1225,Madhya Pradesh,Indore,22.6848351,75.8558249,110456.42160317747,20,0
1226,West Bengal,Bardhaman,23.663888,87.057978,110445.21947839824,56,0
1227,West Bengal,Howrah,22.614383,88.273187,110444.00423937822,56,0
1228,Telangana,Hyderabad,17.454398,78.434575,110453.84284883103,82,0
1229,Telangana,Hyderabad,17.45848,78.5,110453.77742373779,82,0
1230,Jharkhand,Bokaro,23.66473,86.073024,110446.20443242579,22,0
1231,Tamil Nadu,Palyampudur,12.0243727,78.0979115,110454.17976996055,176,0
1232,Maharashtra,Pune,18.562826,73.922392,110458.35501204811,260,0
1233,Delhi NCR,Delhi,28.6034988,77.3354221,110454.94230949298,53,0
1234,Gujarat,Changodar,22.9378139,72.455668,110459.82176656104,78,0
1235,Gujarat,Kamod,22.9247437,72.5434955,110459.73393871184,78,0
1236,Gujarat,Vadodara,22.3216986,73.154986,110459.12243378114,78,0
1237,West Bengal,Siliguri,26.729623,88.373903,110443.90369820931,56,0
1238,Tamil Nadu,Mahabalipuram,12.61860448,80.19400597,110452.08363429362,176,0
1239,Maharashtra,Pune,18.4995583,73.8685639,110458.40884097789,260,0
1240,Andhra Pradesh,Anantapuram,15.02395,77.620628,110454.65687814244,67,0
1241,Odisha,Berhampur,19.298988,84.831762,110447.44563505701,39,0
1242,Madhya Pradesh,Indore,22.6520302,75.821321,110456.456106279,20,0
1243,Andhra Pradesh,Ongole,15.6382976,80.0167529,110452.26072738771,67,0
1244,Chhattisgarh,Khursipar,21.206036,81.3418606,110450.93554116343,18,0
1245,Delhi NCR,Delhi,28.6933409,77.1531325,110455.12460614323,53,0
1246,Andhra Pradesh,Vizag,17.71241304,83.3184811,110448.9589371339,67,0
1247,Maharashtra,Panchgani,17.9335258,73.8158574,110458.46155651416,260,0
1248,Maharashtra,Pune,18.99132729,73.94277954,110458.33461984189,260,0
1249,Maharashtra,Shirdi,19.7650352,74.4754592,110457.80193596696,260,0
1250,Maharashtra,Mumbai,19.1737611,72.8600172,110459.41738069973,260,0
1251,Maharashtra,Mumbai,19.1737611,72.8600172,110459.41738069973,260,0
1252,Andhra Pradesh,Vizag,17.7105539,83.3008275,110448.97659077209,67,0
1253,West Bengal,Rupnarayanpur,22.380721,87.365968,110444.91145305157,56,0
1254,Odisha,Bhubaneswar,20.238165,85.756643,110446.52075225982,39,0
1255,Punjab,Mohali,30.7366917,76.6803752,110455.59754353408,24,0
1256,Uttar Pradesh,Moradabad,28.828917,78.7328429,110453.54490652661,87,0
1257,Delhi NCR,Delhi,28.6868847,76.9849286,110455.29280953358,53,0
1258,Karnataka,Hubli,15.369541,75.119095,110457.15839617462,134,0
1259,Maharashtra,Uruli Kanchan,18.487405,74.146125,110458.13128004147,260,0
1260,Uttar Pradesh,Ghaziabad,28.6765653,77.341822,110454.93591532171,87,0
1261,Maharashtra,Mahabaleshwar,17.92655754,73.69586565,110458.58154839344,260,0
1262,Maharashtra,Mahabaleshwar,17.92655754,73.69586565,110458.58154839344,260,0
1263,Maharashtra,Pune,18.621396,73.8384375,110458.43896581221,260,0
1264,Maharashtra,Nashik,19.9594519,73.7591054,110458.51828955984,260,0
1265,Maharashtra,Latur,18.4159831,76.5356299,110455.74177612987,260,0
1266,Maharashtra,Nashik,19.9625471,73.7652956,110458.5120993593,260,0
